Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2005,SMARTBOX ASSISTIVE TECHNOLOGY LTD                                ,FuturePad XP 8Gb ,1," £2,915.00 "," £2,915.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,63,,
2005,Attainment Company Inc,Go Talk 9+,1, £104.00 , £104.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,64,,
2005,Attainment Company Inc,Go Talk 20+,1, £114.00 , £114.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,65,,
2005,Saltillo,Hummingbird (Scanning SA-1),1, £188.48 , £188.48 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,66,,
2005,#N/A,Lib Talk,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,67,,
2005,#N/A,Pocket Grid System,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,68,,
2005,Toby Churchill,Lightwriter Printer,1, £195.00 , £195.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,69,,
2005,AMDi,Tech/Speak (Unknown),2, £600.00 ," £1,200.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,70,,
2005,Liberator,Vanguard,1, £-   , £-   ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,71,,
2005,Inclusive,Voice Cue,1, £25.00 , £25.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,72,,
2006,#N/A,Chickadee,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,73,,
2006,Dynavox,Dynamo,1," £1,690.00 "," £1,690.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,74,,
2006,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,75,,
2006,Attainment Company Inc,Go Talk 9+,2, £104.00 , £208.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,76,,
